Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.20     0.00    36732     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::begin()
  0.00      0.20     0.00    36171     0.00     0.00  __gnu_cxx::__normal_iterator<Wolf*, std::vector<Wolf, std::allocator<Wolf> > >::operator*() const
  0.00      0.20     0.00    35609     0.00     0.00  bool __gnu_cxx::operator!=<Wolf*, std::vector<Wolf, std::allocator<Wolf> > >(__gnu_cxx::__normal_iterator<Wolf*, std::vector<Wolf, std::allocator<Wolf> > > const&, __gnu_cxx::__normal_iterator<Wolf*, std::vector<Wolf, std::allocator<Wolf> > > const&)
  0.00      0.20     0.00    35476     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >::__normal_iterator(Sheep const* const&)
  0.00      0.20     0.00    35308     0.00     0.00  __gnu_cxx::__normal_iterator<Wolf*, std::vector<Wolf, std::allocator<Wolf> > >::operator++()
  0.00      0.20     0.00    35074     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > > std::__miter_base<__gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > > >(__gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >)
  0.00      0.20     0.00    35074     0.00     0.00  Sheep* std::__niter_base<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >(__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >)
  0.00      0.20     0.00    35074     0.00     0.00  Sheep const* std::__niter_base<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >(__gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >)
  0.00      0.20     0.00    25992     0.00     0.00  void __gnu_cxx::new_allocator<Wolf>::construct<Wolf, Wolf>(Wolf*, Wolf&&)
  0.00      0.20     0.00    25992     0.00     0.00  void std::allocator_traits<std::allocator<Wolf> >::construct<Wolf, Wolf>(std::allocator<Wolf>&, Wolf*, Wolf&&)
  0.00      0.20     0.00    25992     0.00     0.00  std::remove_reference<Wolf&>::type&& std::move<Wolf&>(Wolf&)
  0.00      0.20     0.00    25129     0.00     0.00  void __gnu_cxx::new_allocator<Wolf>::destroy<Wolf>(Wolf*)
  0.00      0.20     0.00    25129     0.00     0.00  void std::allocator_traits<std::allocator<Wolf> >::destroy<Wolf>(std::allocator<Wolf>&, Wolf*)
  0.00      0.20     0.00    25129     0.00     0.00  void std::__relocate_object_a<Wolf, Wolf, std::allocator<Wolf> >(Wolf*, Wolf*, std::allocator<Wolf>&)
  0.00      0.20     0.00    17738     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::end() const
  0.00      0.20     0.00    17738     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::begin() const
  0.00      0.20     0.00    17717     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Sheep*>(Sheep*, Sheep*)
  0.00      0.20     0.00    17717     0.00     0.00  void std::_Destroy<Sheep*>(Sheep*, Sheep*)
  0.00      0.20     0.00    17717     0.00     0.00  void std::_Destroy<Sheep*, Sheep>(Sheep*, Sheep*, std::allocator<Sheep>&)
  0.00      0.20     0.00    17665     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Sheep>, Sheep>::_S_propagate_on_copy_assign()
  0.00      0.20     0.00    17665     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::capacity() const
  0.00      0.20     0.00    17614     0.00     0.00  Sheep* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<Sheep>(Sheep const*, Sheep const*, Sheep*)
  0.00      0.20     0.00    17537     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >::operator+(long) const
  0.00      0.20     0.00    17537     0.00     0.00  void std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > > >(__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >, __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >)
  0.00      0.20     0.00    17537     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >, Sheep*>(__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >, Sheep*)
